Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2
4.235077040195465088e+02,2.464918944535489231e+01,6.977630014459236918e+01,6.143900000000000006e+01,4.558400000000000318e+01
4.265369992256164551e+02,2.152674191876544540e+01,6.977630014459236918e+01,6.102100000000000080e+01,4.571300000000000097e+01
4.295280339717864990e+02,2.152674191876544540e+01,6.977630014459236918e+01,6.069800000000000040e+01,4.619599999999999795e+01
4.325190598964691162e+02,2.152674191876544540e+01,6.977630014459236918e+01,6.037599999999999767e+01,4.603499999999999659e+01
4.355101029872894287e+02,2.152674191876544540e+01,6.977630014459236918e+01,5.969899999999999807e+01,4.600300000000000011e+01
4.385011231899261475e+02,2.152674191876544540e+01,6.977630014459236918e+01,5.940899999999999892e+01,4.667999999999999972e+01
4.414921681880950928e+02,2.152674191876544540e+01,6.977630014459236918e+01,5.918399999999999750e+01,4.690500000000000114e+01
4.445368890762329102e+02,2.152674191876544540e+01,6.977630014459236918e+01,5.876500000000000057e+01,4.687299999999999756e+01
4.475280182361602783e+02,2.152674191876544540e+01,6.977630014459236918e+01,5.834599999999999653e+01,4.664699999999999847e+01
4.505272510051727295e+02,2.152674191876544540e+01,6.977630014459236918e+01,5.811999999999999744e+01,4.700200000000000244e+01
4.535183470249176025e+02,2.152674191876544540e+01,6.977630014459236918e+01,5.792699999999999960e+01,4.742099999999999937e+01
4.565093970298767090e+02,2.152674191876544540e+01,5.685637310172833025e+01,5.766899999999999693e+01,4.706600000000000250e+01
4.595004501342773438e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.757200000000000273e+01,4.764600000000000080e+01
4.624914989471435547e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.712100000000000222e+01,4.751800000000000068e+01
4.654825782775878906e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.679899999999999949e+01,4.764600000000000080e+01
4.684736890792846680e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.638000000000000256e+01,4.764600000000000080e+01
4.714647800922393799e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.602499999999999858e+01,4.767900000000000205e+01
4.744558751583099365e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.538100000000000023e+01,4.767900000000000205e+01
4.774469351768493652e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.512299999999999756e+01,4.771099999999999852e+01
4.804380040168762207e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.441400000000000148e+01,4.787199999999999989e+01
4.834290730953216553e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.409199999999999875e+01,4.787199999999999989e+01
4.864201381206512451e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.360799999999999699e+01,4.777499999999999858e+01
4.894111940860748291e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.318900000000000006e+01,4.787199999999999989e+01
4.924022271633148193e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.286699999999999733e+01,4.809799999999999898e+01
4.953932752609252930e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.247999999999999687e+01,4.809799999999999898e+01
4.983834490776062012e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.206199999999999761e+01,4.809799999999999898e+01
5.013744840621948242e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.180400000000000205e+01,4.793699999999999761e+01
5.043655421733856201e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.132000000000000028e+01,4.806499999999999773e+01
5.073565630912780762e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.115899999999999892e+01,4.848400000000000176e+01
5.103475911617279053e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.083700000000000330e+01,4.854899999999999949e+01
5.133386170864105225e+02,0.000000000000000000e+00,5.685637310172833025e+01,5.057900000000000063e+01,4.871000000000000085e+01
5.163296501636505127e+02,0.000000000000000000e+00,2.985841935462518748e+01,5.025699999999999790e+01,4.874199999999999733e+01
5.193205871582031250e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.983800000000000097e+01,4.842000000000000171e+01
5.223116090297698975e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.932200000000000273e+01,4.838799999999999812e+01
5.253026361465454102e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.890299999999999869e+01,4.829099999999999682e+01
5.282936651706695557e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.829099999999999682e+01,4.796900000000000119e+01
5.313564901351928711e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.793699999999999761e+01,4.796900000000000119e+01
5.344587500095367432e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.764600000000000080e+01,4.822699999999999676e+01
5.374497709274291992e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.738900000000000290e+01,4.829099999999999682e+01
5.404408011436462402e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.706600000000000250e+01,4.803300000000000125e+01
5.434318301677703857e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.684100000000000108e+01,4.796900000000000119e+01
5.464596281051635742e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.667999999999999972e+01,4.800099999999999767e+01
5.494506533145904541e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.642199999999999704e+01,4.777499999999999858e+01
5.524416880607604980e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.606700000000000017e+01,4.784000000000000341e+01
5.554327270984649658e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.571300000000000097e+01,4.761399999999999721e+01
5.585024261474609375e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.542300000000000182e+01,4.738900000000000290e+01
5.614934530258178711e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.506799999999999784e+01,4.719500000000000028e+01
5.645384449958801270e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.477799999999999869e+01,4.700200000000000244e+01
5.675294692516326904e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.442399999999999949e+01,4.700200000000000244e+01
5.707789843082427979e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.416599999999999682e+01,4.680899999999999750e+01
5.738924059867858887e+02,0.000000000000000000e+00,2.985841935462518748e+01,4.384400000000000119e+01,4.690500000000000114e+01
5.768834271430969238e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.368299999999999983e+01,4.671200000000000330e+01
5.798744471073150635e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.355400000000000205e+01,4.645400000000000063e+01
5.828894419670104980e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.313499999999999801e+01,4.619599999999999795e+01
5.859089751243591309e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.281300000000000239e+01,4.590599999999999881e+01
5.889000020027160645e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.252199999999999847e+01,4.597099999999999653e+01
5.919864780902862549e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.223199999999999932e+01,4.574499999999999744e+01
5.949775040149688721e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.194200000000000017e+01,4.539099999999999824e+01
5.980471291542053223e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.158800000000000097e+01,4.526200000000000045e+01
6.010381560325622559e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.126599999999999824e+01,4.484300000000000352e+01
6.040291759967803955e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.116899999999999693e+01,4.484300000000000352e+01
6.070202002525329590e+02,0.000000000000000000e+00,1.213582291010828484e+01,4.091100000000000136e+01,4.455299999999999727e+01
